tolerance_kb	fig2_n_loci_total	fig3_n_loci_total	table1_rmse_union_denominator	table1_rmse_global_denominator	table3_rmse_global_denominator	table3_rmse_jaccard_denominator	combined_rmse_preferred
0.025	41	31	41.06101790810842	16.372473237113564	2.4922066527477216	8.90334142892431	11.71044349928729
0.035	35	27	41.903431619021376	17.83644511386728	4.241829628827636	11.090373514900206	12.9640250867545
0.05	21	8	39.19383342695634	22.324757887824898	11.71644143927669	27.31634920336171	17.82792493183096
0.075	20	3	38.03822523068078	22.466772994802792	40.97263477127142	54.087099509957085	33.04173640185999
0.1	17	3	38.392437334063594	25.678732019903162	40.97263477127142	54.087099509957085	34.1917685872638
0.125	13	3	38.40547197731073	27.127050821090005	40.97263477127142	54.087099509957085	34.74646518964195
0.15	12	3	38.765437785481026	27.847496796839746	40.97263477127142	54.087099509957085	35.03027175137241
